rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,id
154,spotify:track:0CFhbNsY7CsuSkBQOiLPzz,"NLE Choppa, 41, Kyle Richh",Or What,Warner Records,154,-1,1,2593082,0CFhbNsY7CsuSkBQOiLPzz
155,spotify:track:3xOi0YhDREKRURFHoNaAOQ,Zach Bryan,Nine Ball,Warner Records,38,160,20,2581459,3xOi0YhDREKRURFHoNaAOQ
156,spotify:track:59nOXPmaKlBfGMDeOVGrIK,"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,3,151,95,2577827,59nOXPmaKlBfGMDeOVGrIK
157,spotify:track:43SoxERu5UlXAgt4Es1VQU,Josh Meloy,Porch Light,Josh Meloy Music,120,149,23,2573030,43SoxERu5UlXAgt4Es1VQU
158,spotify:track:6QeYSvYqYUsfBzsApbjDHO,TV Girl,Cigarettes out the Window,TV Girl,94,143,35,2567640,6QeYSvYqYUsfBzsApbjDHO
159,spotify:track:3rXlcLZk3MCaRPND5g9QiW,"Tee Grizzley, J. Cole",Blow for Blow (feat. J. Cole),300 Entertainment,159,-1,1,2557237,3rXlcLZk3MCaRPND5g9QiW
160,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,Surf Curse,31,183,81,2554440,7EkWXAI1wn8Ii883ecd9xr
161,spotify:track:1aXV8GrmQLvgoFtBPERP7E,Eyedress,Jealous,Lex Records,137,167,42,2553732,1aXV8GrmQLvgoFtBPERP7E
162,spotify:track:6rjuKpPydT2SxN15TZpV7r,Lil Tecca,500lbs,Galactic Records/Lil Tecca,12,195,46,2553082,6rjuKpPydT2SxN15TZpV7r
163,spotify:track:6X6m4xmdFcz31p1h7Qg68c,Tito Double P,EL LOKERON,2024 Double P Records,163,-1,2,2549567,6X6m4xmdFcz31p1h7Qg68c
164,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,Creedence Clearwater Revival,Fortunate Son,Craft Recordings,88,187,44,2547563,4BP3uh0hFLFRb5cjsgLqDh
165,spotify:track:7tqhbajSfrz2F7E1Z75ASX,"Marvin Gaye, Tammi Terrell",Ain't No Mountain High Enough,UNI/MOTOWN,108,168,17,2540117,7tqhbajSfrz2F7E1Z75ASX
166,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,131,131,12,2526778,3AJwUDP919kvQ9QcozQPxg
167,spotify:track:7AQim7LbvFVZJE3O8TYgf2,"XXXTENTACION, Trippie Redd",Fuck Love,Bad Vibes Forever / EMPIRE,8,175,212,2521702,7AQim7LbvFVZJE3O8TYgf2
168,spotify:track:7D0RhFcb3CrfPuTJ0obrod,Coldplay,Sparks,Parlophone UK,123,-1,26,2496071,7D0RhFcb3CrfPuTJ0obrod
169,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,Bryson Tiller,Exchange,TrapSoul/RCA Records,84,173,69,2493259,43PuMrRfbyyuz4QpZ3oAwN
170,spotify:track:4E63weMCaNZuGPEFMnuEi8,Tate McRae,exes,RCA Records Label,16,164,34,2492916,4E63weMCaNZuGPEFMnuEi8
171,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,1,163,91,2491216,4k6Uh1HXdhtusDW5y8Gbvy
172,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,"Kendrick Lamar, Jay Rock",Money Trees,Aftermath,41,161,198,2482841,2HbKqm4o0w5wEeEFXm2sD4
173,spotify:track:4riDfclV7kPDT9D58FpmHd,Steve Lacy,Some,L-M Records,170,-1,9,2474161,4riDfclV7kPDT9D58FpmHd
174,spotify:track:6PhRhocBXP4y7NpciGmzra,"Cris Mj, FloyyMenor, LOUKI",Después De La 1,Sonar LLC.,174,188,2,2469292,6PhRhocBXP4y7NpciGmzra
175,spotify:track:5wbg8kepMFoMzHOEuxiI0q,Gracie Abrams,Close To You,"Gracie Abrams, under exclusive license to Interscope Records",27,112,17,2466268,5wbg8kepMFoMzHOEuxiI0q
176,spotify:track:0f8eRy9A0n6zXpKSHSCAEp,Steve Lacy,Infrunami,L-M Records,109,181,26,2450983,0f8eRy9A0n6zXpKSHSCAEp
177,spotify:track:1CDQzbCz4KSQxHe7LMEgRM,Eminem,Houdini,Shady/Aftermath/Interscope Records,5,166,18,2447567,1CDQzbCz4KSQxHe7LMEgRM
178,spotify:track:7ByxizhA4GgEf7Sxomxhze,Noah Kahan,All My Love,Mercury Records/Republic Records,120,-1,6,2446328,7ByxizhA4GgEf7Sxomxhze
179,spotify:track:57TEkZN3f84tFJFHFrD4pO,Morgan Wallen,Whiskey Glasses,Big Loud,43,179,263,2441166,57TEkZN3f84tFJFHFrD4pO
180,spotify:track:4PMqSO5qyjpvzhlLI5GnID,SZA,Good Days,Top Dawg Entertainment/RCA Records,1,182,165,2440181,4PMqSO5qyjpvzhlLI5GnID
181,spotify:track:0HTIrbUwwFn984RzVZm5Fk,Ken Carson,Yale,Ken Car$on,181,-1,2,2437402,0HTIrbUwwFn984RzVZm5Fk
182,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,1,172,64,2434222,4rXLjWdF2ZZpXCVTfWcshS
183,spotify:track:5gDWsRxpJ2lZAffh5p7K0w,"The Weeknd, Lana Del Rey",Stargirl Interlude,Universal Republic Records,56,197,98,2430157,5gDWsRxpJ2lZAffh5p7K0w
184,spotify:track:3K4HG9evC7dg3N0R9cYqk4,Linkin Park,One Step Closer,Warner Records,126,152,5,2425120,3K4HG9evC7dg3N0R9cYqk4
185,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,8,-1,164,2419399,2LBqCSwhJGcFQeTHMVGwy3
186,spotify:track:43iIQbw5hx986dUEZbr3eN,Laufey,From The Start,Laufey,45,189,53,2414305,43iIQbw5hx986dUEZbr3eN
187,spotify:track:4pCbJC43j3gSqG6Fen6upD,"Zach Bryan, The War And Treaty",Hey Driver (feat. The War and Treaty),Warner Records,3,174,58,2411364,4pCbJC43j3gSqG6Fen6upD
188,spotify:track:5A8xI7PN4WDe9e61xEdt94,GloRilla,Yeah Glo!,CMG/Interscope Records,38,153,30,2404207,5A8xI7PN4WDe9e61xEdt94
189,spotify:track:2QfX9Pdz3q66fN3kCXl0Js,Zach Bryan,Revival,Warner Records,124,178,31,2392195,2QfX9Pdz3q66fN3kCXl0Js
190,spotify:track:3ZaEs1O8BG581qYPHpQ8d6,"A$AP Rocky, Imogen Heap, Clams Casino",I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Worldwide/RCA Records,147,-1,13,2386476,3ZaEs1O8BG581qYPHpQ8d6
191,spotify:track:1LzNfuep1bnAUR9skqdHCK,Mazzy Star,Fade Into You,Capitol Records,191,-1,1,2372307,1LzNfuep1bnAUR9skqdHCK
192,spotify:track:7zFXmv6vqI4qOt4yGf3jYZ,"Daniel Caesar, Kali Uchis",Get You (feat. Kali Uchis),Golden Child Recordings,173,176,22,2371867,7zFXmv6vqI4qOt4yGf3jYZ
193,spotify:track:0rtDE9zfXbamTlRUSwY7zy,Mark Ambor,Belong Together,"Hundred Days Records, LLC",52,196,26,2366148,0rtDE9zfXbamTlRUSwY7zy
194,spotify:track:3jHdKaLCkuNEkWcLVmQPCX,"Tyler, The Creator",BEST INTEREST,Columbia,148,-1,16,2354165,3jHdKaLCkuNEkWcLVmQPCX
195,spotify:track:5TRPicyLGbAF2LGBFbHGvO,"Kanye West, Dwele",Flashing Lights,Roc-A-Fella,53,-1,122,2353669,5TRPicyLGbAF2LGBFbHGvO
196,spotify:track:42T2QQv3xgBlpQxaSP7lnK,Creed,One Last Breath,The Bicycle Music Company,168,-1,2,2351409,42T2QQv3xgBlpQxaSP7lnK
197,spotify:track:0WiyWiJDkNCyGNqkv7NByy,Morgan Wallen,Chasin' You,Big Loud,55,194,148,2351240,0WiyWiJDkNCyGNqkv7NByy
198,spotify:track:6IZvVAP7VPPnsGX6bvgkqg,Kendrick Lamar,PRIDE.,Aftermath,10,-1,37,2349791,6IZvVAP7VPPnsGX6bvgkqg
199,spotify:track:6K4t31amVTZDgR3sKmwUJJ,Tame Impala,The Less I Know The Better,Universal Music Australia Pty. Ltd.,117,-1,145,2336524,6K4t31amVTZDgR3sKmwUJJ
200,spotify:track:22VHOlVYBqytsrAqV8yXBK,"Noah Kahan, Post Malone",Dial Drunk (with Post Malone),Mercury Records/Republic Records,13,-1,62,2329593,22VHOlVYBqytsrAqV8yXBK
1,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1,1,7,77421467,2plbrEY59IikOBgBGLjaoe
2,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,2,20,54110741,6dOtVTDdiauQNBQEDOtlAB
3,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (with Playboi Carti),XO / Republic Records,3,-1,1,44559328,1Es7AUAhQvapIcoh3qMKDL
4,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,1,3,11,43963094,7tI8dRuH2Yc6RuoTjxo4dU
5,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,3,4,6,43268536,5G2f63n7IPVPPjfNIGih7Q
6,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,1,5,25,39043222,2HRqTpkrJO5ggZyyK6NPWz
7,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,6,6,25,36087929,0WbMK4wrZ1wFSty9F7FCgu
8,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,5,8,15,31694710,6WatFBLVB0x077xWeoVc2k
9,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,1,7,17,31402675,2tHwzyyOLoWSFqYNjeVMzj
10,spotify:track:2PnlsTsOTLE5jnBnNe2K0A,Linkin Park,The Emptiness Machine,Warner Records,6,9,4,28794244,2PnlsTsOTLE5jnBnNe2K0A
11,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,10,37,27202673,3xkHsmpQCBMytMJNiDf3Ii
12,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,Sabrina Carpenter,Bed Chem,Island Records,9,11,6,25486368,1UHS8Rf6h5Ar3CDWRd3wjF
13,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,6,13,25,22228771,5fZJQrFKWQLb7FpJXZ1g7K
14,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,5,12,47,22093952,17phhZDn6oGtzMe56NuWvj
15,spotify:track:3fgehc497TFqKH1zBL2YNK,Linkin Park,Heavy Is the Crown,Warner Records,15,120,2,22090509,3fgehc497TFqKH1zBL2YNK
16,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,2,14,28,21804907,19XpFsce28aByvCC4g89tJ
17,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,17,17,214,21244123,0cQVqPuHQP4KEwc7ZUQmj6
18,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,15,23,20,20526523,3QaPy1KgI7nu9FJEQUgn6h
19,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,3,16,52,19899355,7CyPwkp0oE8Ro9Dd5CUDjW
20,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,20,21,7,19809740,2262bWmqomIaJXwCRHr13j
21,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,15,20,117,19707413,5XeFesFbtLpXzIVDNQP22n
22,spotify:track:3WOhcATHxK2SLNeP5W3v1v,"Charli xcx, Billie Eilish",Guess featuring Billie Eilish,Atlantic Records,5,18,9,18723855,3WOhcATHxK2SLNeP5W3v1v
23,spotify:track:5IZXB5IKAD2qlvTPJYDCFB,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records / Republic Records,3,25,21,18598093,5IZXB5IKAD2qlvTPJYDCFB
24,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,15,15,102,18482352,3hRV0jL3vUpRrcy398teAU
25,spotify:track:42VsgItocQwOQC3XWZ8JNA,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,5,29,55,18456074,42VsgItocQwOQC3XWZ8JNA
26,spotify:track:2esZG2XFtuoWWA9AfDvSxy,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,3,24,34,18104707,2esZG2XFtuoWWA9AfDvSxy
27,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,we can't be friends (wait for your love),Republic Records,1,26,30,17947836,51ZQ1vr10ffzbwIjDCwqm4
28,spotify:track:4xdBrk0nFZaP54vvZj0yx7,Chappell Roan,HOT TO GO!,Chappell Roan PS/ Island,22,22,16,17458056,4xdBrk0nFZaP54vvZj0yx7
29,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,19,19,198,17044126,3AJwUDP919kvQ9QcozQPxg
30,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",2,28,22,17000449,6AI3ezQ4o3HUoP6Dhudph3
31,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,1,27,23,16952884,5AJ9hqTS2wcFQCELCFRO7A
32,spotify:track:6X6m4xmdFcz31p1h7Qg68c,Tito Double P,EL LOKERON,2024 Double P Records,32,50,5,16850946,6X6m4xmdFcz31p1h7Qg68c
33,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,3,32,33,16758028,3qhlB30KknSejmIvZZLjOD
34,spotify:track:6PhRhocBXP4y7NpciGmzra,"Cris Mj, FloyyMenor, LOUKI",Después De La 1,Sonar LLC.,34,36,3,16639243,6PhRhocBXP4y7NpciGmzra
35,spotify:track:2nLtzopw4rPReszdYBJU6h,Linkin Park,Numb,Warner Records,24,30,31,16479600,2nLtzopw4rPReszdYBJU6h
36,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,34,87,16425207,1BxfuPKGuaTgP7aM0Bbdwr
37,spotify:track:42wdz3j7gstgUuhoFLCXqd,FloyyMenor,PELIGROSA,FloyyMenor under exclusive license to UnitedMasters LLC,37,40,8,16384202,42wdz3j7gstgUuhoFLCXqd
38,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,i like the way you kiss me,Artemas,1,35,28,16215744,3JG1uFc40wfyrqaWC7iv0e
39,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",32,37,9,16206700,51rfRCiUSvxXlCSCfIztBy
40,spotify:track:7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,16,52,84,16154930,7KA4W4McWYRpgf0fWsJZWB
41,spotify:track:0Sr7ssScx54yxdM2ols7nW,"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,Mr. 305 Records / Rimas Entertainment,41,-1,1,16123288,0Sr7ssScx54yxdM2ols7nW
42,spotify:track:2aYZaN5SmkRDLsrrV8GkBQ,"Peso Pluma, Neton Vega",LA PATRULLA,2024 Double P Records,41,41,15,15881727,2aYZaN5SmkRDLsrrV8GkBQ
43,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,33,64,15809274,2HRgqmZQC0MC7GeNuDIXHN
44,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,9,47,43,15673521,7bywjHOc0wSjGGbj04XbVi
45,spotify:track:62bOmKYxYg7dhrC6gH9vFn,*NSYNC,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,Jive,10,38,10,15612765,62bOmKYxYg7dhrC6gH9vFn
46,spotify:track:0OA00aPt3BV10qeMIs3meW,"Hanumankind, Kalmi",Big Dawgs,Universal Music India Pvt Ltd.,7,31,10,15593983,0OA00aPt3BV10qeMIs3meW
47,spotify:track:1XBYiRV30ykHw5f4wm6qEn,The Kid LAROI,NIGHTS LIKE THIS,Columbia,42,53,15,15548205,1XBYiRV30ykHw5f4wm6qEn
48,spotify:track:0io16MKpbeDIdYzmGpQaES,Ndotz,Embrace It,Isekai Records,48,55,3,15511728,0io16MKpbeDIdYzmGpQaES
49,spotify:track:5lKFO0PrOC9jmOlPEdjHsL,"Tito Double P, Peso Pluma",DOS DÍAS,2024 Double P Records,49,63,5,15390104,5lKFO0PrOC9jmOlPEdjHsL
50,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,Stargazing,RCA Records Label,16,42,21,15152674,3Vr3zh0r7ALn8VLqCiRR10
51,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,40,46,57,15119821,6Qyc6fS4DsZjB2mRW9DsQs
52,spotify:track:5QjmUqgpPQgXgg4606DqZF,Kapo,UWAIE,Sony Music Latin/La Industria,19,39,7,14887787,5QjmUqgpPQgXgg4606DqZF
53,spotify:track:6MzofobZt2dm0Kf1hTThFz,Addison Rae,Diet Pepsi,Columbia,53,80,5,14617655,6MzofobZt2dm0Kf1hTThFz
54,spotify:track:2uqYupMHANxnwgeiXTZXzd,Dasha,Austin (Boots Stop Workin'),Warner Records,20,44,30,14502268,2uqYupMHANxnwgeiXTZXzd
55,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,60,95,14447079,1Qrg8KqiBpW07V7PNxwwwL
56,spotify:track:51eSHglvG1RJXtL3qI5trr,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",27,54,28,14324746,51eSHglvG1RJXtL3qI5trr
57,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,3,56,54,14122633,3vkCueOmm7xQDoJ17W1Pm3
58,spotify:track:102YUQbYmwdBXS7jwamI90,Sabrina Carpenter,Good Graces,Island Records,11,70,6,13981091,102YUQbYmwdBXS7jwamI90
59,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,61,209,13948457,7MXVkk9YMctZqd1Srtv4MB
60,spotify:track:5496lks6V3fh1mZAB6IAap,"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult),Twisted Elegance,12,45,14,13916165,5496lks6V3fh1mZAB6IAap
61,spotify:track:0B7wvvmu9EISAwZnOpjhNI,Bruno Mars,When I Was Your Man,Atlantic Records,38,58,101,13851235,0B7wvvmu9EISAwZnOpjhNI
62,spotify:track:7ov3TDp5D00Rnu5R1viX4w,"LISA, ROSALÍA",New Woman (feat. ROSALÍA),Lloud Co./RCA Records,9,49,7,13737262,7ov3TDp5D00Rnu5R1viX4w
63,spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,19,51,16,13732568,1BJJbSX6muJVF2AK7uH1x4
64,spotify:track:21B4gaTWnTkuSh77iWEXdS,Sabrina Carpenter,Juno,Island Records,23,119,6,13517668,21B4gaTWnTkuSh77iWEXdS
65,spotify:track:6HrALJOMsfPCCbUo5cJCON,"Tito Double P, Chino Pacas",ESCAPATE,2024 Double P Records,65,73,4,13458541,6HrALJOMsfPCCbUo5cJCON
66,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,5,72,20,13432520,7BRD7x5pt8Lqa1eGYC4dzj
67,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,15,65,182,13396083,7jtQIBanIiJOMS6RyCx6jZ
68,spotify:track:6RUKPb4LETWmmr3iAEQktW,"The Chainsmokers, Coldplay",Something Just Like This,Disruptor Records/Columbia,2,62,227,13314685,6RUKPb4LETWmmr3iAEQktW
69,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,71,253,13205811,0VjIjW4GlUZAMYd2vXMi3b
70,spotify:track:7z7kvUQGwlC6iOl7vMuAr9,The Weeknd,Dancing In The Flames,XO / Republic Records,13,48,3,13170469,7z7kvUQGwlC6iOl7vMuAr9
71,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,31,92,110,13131549,1mea3bSkSGXuIRvnydlB5b
72,spotify:track:5AH31dDNgxCMGDdxubNNn4,Fuerza Regida,NEL,Rancho Humilde/Street Mob Records,55,59,8,13125593,5AH31dDNgxCMGDdxubNNn4
73,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,6,68,52,12948689,0mflMxspEfB0VbI1kyLiAv
74,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,Apocalypse,Partisan Records,74,74,116,12929371,0yc6Gst2xkRu0eMLeRMGCX
75,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,Warner Records,21,76,125,12876497,4SqWKzw0CbA05TGszDgMlc
76,spotify:track:24XihnoVPWXlKJ4BgXqjVM,Tate McRae,It's ok I'm ok,RCA Records Label,30,43,3,12783836,24XihnoVPWXlKJ4BgXqjVM
77,spotify:track:1C84d9abZVKWHT2YYpoean,"Luis R Conriquez, Neton Vega",Si No Quieres No,Kartel Music,28,66,25,12641759,1C84d9abZVKWHT2YYpoean
78,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,In the End,Warner Records,22,89,60,12623619,60a0Rd6pjrkxjPbaKzXjfq
79,spotify:track:629DixmZGHc7ILtEntuiWE,Billie Eilish,LUNCH,Darkroom/Interscope Records,1,84,20,12340637,629DixmZGHc7ILtEntuiWE
80,spotify:track:2yR2sziCF4WEs3klW1F38d,Odetari,KEEP UP,APG Inc. - Odetari,75,75,3,12328637,2yR2sziCF4WEs3klW1F38d
81,spotify:track:0BiDnJFB3TlRB6aji7jUz3,Julión Álvarez y su Norteño Banda,Rey Sin Reina,"Copar Music, Inc",57,57,3,12245790,0BiDnJFB3TlRB6aji7jUz3
82,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,12,79,138,12166039,2LBqCSwhJGcFQeTHMVGwy3
83,spotify:track:1k2pQc5i348DCHwbn5KTdc,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,64,64,14,12149121,1k2pQc5i348DCHwbn5KTdc
84,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Boys Don't Cry,69,97,72,12129071,3xKsf9qdS1CyvXSMEid6g8
85,spotify:track:2btNsI4OvcVl7SAHQQDHFB,"Blessd, Ovy On The Drums",Mirame,WEA Latina,38,83,14,12051534,2btNsI4OvcVl7SAHQQDHFB
86,spotify:track:0eCajpR75pDW0r64U6hP2x,Anuv Jain,Jo Tum Mere Ho,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),82,82,3,11892294,0eCajpR75pDW0r64U6hP2x
87,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Atlantic Records,39,85,91,11877736,7BqBn9nzAq8spo5e7cZ0dJ
88,spotify:track:7zOVh5fGpEwSbZd0g9z80B,Bernadya,Satu Bulan,Juni Records,48,67,8,11866887,7zOVh5fGpEwSbZd0g9z80B
89,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,98,299,11866530,7qEHsqek33rTcFNT9PFqLf
90,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Recording Co,43,81,143,11850782,58ge6dfP91o9oXMzq3XkIS
91,spotify:track:6IPwKM3fUUzlElbvKw2sKl,girl in red,we fell in love in october,world in red,73,-1,18,11723741,6IPwKM3fUUzlElbvKw2sKl
92,spotify:track:5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,Syco Music,79,86,101,11642266,5O2P9iiztwhomNh8xkR9lJ
93,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,Island Records,17,103,89,11612001,6dgUya35uo964z7GZXM07g
94,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,32,94,121,11601898,5g7sDjBhZ4I3gcFIpkrLuI
95,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,77,99,147,11595152,1JSTJqkT5qHq8MDJnJbRE1
96,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,24,115,337,11583597,0u2P5u6lvoDfwTYjAADbn4
97,spotify:track:0rtDE9zfXbamTlRUSwY7zy,Mark Ambor,Belong Together,"Hundred Days Records, LLC",19,87,27,11505691,0rtDE9zfXbamTlRUSwY7zy
98,spotify:track:5RKQ5NdjSh2QzD4MaunT91,Journey,Don't Stop Believin' (2022 Remaster),Columbia/Legacy,89,107,31,11394045,5RKQ5NdjSh2QzD4MaunT91
99,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,110,131,11346190,4Dvkj6JhhA12EX05fT7y2e
100,spotify:track:4S1VYqwfkLit9mKVY3MXoo,Alphaville,Forever Young,WM Germany,54,96,11,11337355,4S1VYqwfkLit9mKVY3MXoo
101,spotify:track:2hrycoFU1mZw6YPvMcn8yC,Jordan Adetunji,KEHLANI,300 Entertainment,36,95,15,11279648,2hrycoFU1mZw6YPvMcn8yC
102,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,1,90,24,11253970,2OzhQlSqBEmt7hmkYxfT6m
103,spotify:track:331l3xABO0HMr1Kkyh2LZq,"David Guetta, OneRepublic",I Don't Wanna Wait,Parlophone UK,34,78,25,11219121,331l3xABO0HMr1Kkyh2LZq
104,spotify:track:4Yf5bqU3NK4kNOypcrLYwU,Linkin Park,Faint,Warner Records,76,105,5,11184051,4Yf5bqU3NK4kNOypcrLYwU
105,spotify:track:6aJn7Cst74cj4lNIiPRgav,KATSEYE,Touch,"HYBE UMG, LLC",100,100,5,11143656,6aJn7Cst74cj4lNIiPRgav
106,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,1,93,47,11136613,2KslE17cAJNHTsI2MI0jb2
