rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,id
59,spotify:track:2J194R0KIKbK7bTHfUHPDB,RIIZE,Boom Boom Bass,SM Entertainment,17,51,16,64963,2J194R0KIKbK7bTHfUHPDB
60,spotify:track:13z3GfR6WzmLUDxBHO3amM,DAY6,Congratulations,JYP Entertainment,60,62,12,63837,13z3GfR6WzmLUDxBHO3amM
61,spotify:track:5sdQOyqq2IDhvmx2lHOpwd,NewJeans,Super Shy,ADOR,2,64,65,61803,5sdQOyqq2IDhvmx2lHOpwd
62,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,V,FRI(END)S,BIGHIT MUSIC,9,67,29,60884,0PBTlQ84CBJF0tBnKGmQa6
63,spotify:track:2022n4pxaEaDC2YvzVl1w7,KEY,Pleasure Shop,SM Entertainment,63,119,2,60342,2022n4pxaEaDC2YvzVl1w7
64,spotify:track:2jidjmWNeRmKgLjXhW52Gz,Lim Young Woong,"Our Blues, Our Life",물고기뮤직,12,61,126,60186,2jidjmWNeRmKgLjXhW52Gz
65,spotify:track:50xSycnGMDy0Wg5jJcOv3S,Lim Young Woong,Rainbow,물고기뮤직,11,63,125,60105,50xSycnGMDy0Wg5jJcOv3S
66,spotify:track:7AbqgE05nFl9qY4FRUiq2p,Jung Kook,Shot Glass of Tears,BIGHIT MUSIC,13,68,48,59815,7AbqgE05nFl9qY4FRUiq2p
67,spotify:track:2ZqTbIID9vFPTXaGyzbb4q,"Megan Thee Stallion, RM",Neva Play (feat. RM of BTS),Hot Girl Productions,21,50,4,59744,2ZqTbIID9vFPTXaGyzbb4q
68,spotify:track:75bgkdHdg7ppBcHdLJkSBM,PLAVE,Why?,VLAST,64,65,7,59709,75bgkdHdg7ppBcHdLJkSBM
69,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,13,60,22,59586,5AJ9hqTS2wcFQCELCFRO7A
70,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,ADOR,1,70,92,58081,65FftemJ1DbbZ45DUfHJXE
71,spotify:track:6rdkCkjk6D12xRpdMXy0I2,NewJeans,New Jeans,ADOR,4,78,65,57532,6rdkCkjk6D12xRpdMXy0I2
72,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,69,69,18,57201,0WbMK4wrZ1wFSty9F7FCgu
73,spotify:track:0UvCh63URrLFcPkKt99hHd,Oasis,Don't Look Back in Anger - Remastered,Big Brother,49,84,33,56891,0UvCh63URrLFcPkKt99hHd
74,spotify:track:56v8WEnGzLByGsDAXDiv4d,NewJeans,ETA,ADOR,3,81,63,55598,56v8WEnGzLByGsDAXDiv4d
75,spotify:track:2nRMW95dnOILirpjbksLTs,Jung Kook,Never Let Go,BIGHIT MUSIC,9,66,17,55189,2nRMW95dnOILirpjbksLTs
76,spotify:track:3Zice5cXhiPVLwrdBJlyHc,NMIXX,별별별 (See that?),JYP Entertainment,25,80,7,54949,3Zice5cXhiPVLwrdBJlyHc
77,spotify:track:4Cr43xPo7bwyCcL1g3yVCu,Lim Young Woong,A bientot,물고기뮤직,21,75,124,54733,4Cr43xPo7bwyCcL1g3yVCu
78,spotify:track:3fgehc497TFqKH1zBL2YNK,Linkin Park,Heavy Is the Crown,Warner Records,78,-1,1,54592,3fgehc497TFqKH1zBL2YNK
79,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,7,86,95,54537,1Qrg8KqiBpW07V7PNxwwwL
80,spotify:track:3Dah48XTdzVtbIl4dUn6l4,RIIZE,Get A Guitar,SM Entertainment,17,71,57,54301,3Dah48XTdzVtbIl4dUn6l4
